Id,name,cleaned
bbdfe7eb,봉봉스테이션솔빛나루점,경기도 화성시 동탄솔빛로 52
2fdfd74b,봉봉스테이션 양산점,경상남도 양산시 양산역1길 18 
4f4d27ef,봉봉스테이션 사직점,부산광역시 동래구 사직북로 4
85c109ea,봉봉스테이션 하양점,경상북도 경산시 하양읍 하양로 57
8d2581bf,잇템오락실,서울특별시 서대문구 연세로 10
cc4d5030,뽑아핑,서울특별시 종로구 돈화문로 45
e8be0bee,뽑아핑 약수점,서울특별시 중구 동호로 196 
f7857f4a,뽑아핑 이태원점,서울특별시 용산구 이태원로20길 7
8f141755,뽑아핑 한양대점,서울특별시 성동구 마조로 17
da99134b,뽑아핑 외대점,서울특별시 동대문구 휘경로 5
085c1f7d,뽑아핑 파주야당점,경기도 파주시 야당동 1054
8885b4fa,뽑아핑 서귀포점,제주특별자치도 서귀포시 서귀동 296-8
2a273261,피규어인형뽑기,서울특별시 중랑구 봉우재로33길 41
4a0f53b1,뽑기왕 원마운트점,경기도 고양시 일산서구 한류월드로 300 
996a4d78,캑티 가챠샵 종각점,서울특별시 종로구 종로12길 9 
f5b97a5f,스미스인형뽑기,인천광역시 남동구 문화로 85 1층 
d7e140fb,못된강아지인형뽑기,인천광역시 부평구 마장로 437
bb37b62f,달콤뽑기,서울특별시 강서구 가로공원로76길 107 
6084c1bb,맨하탄뽑기,경기도 남양주시 다산중앙로123번길 7-34 한강타워 
ba772722,김포뽑기,경기도 김포시 김포한강9로75번길 22 
77249f44,뽑기데이트 동탄역점,경기도 화성시 동탄역로 102
bb6541dd,지지코믹마켓,경기도 의정부시 호국로1298번길 56 
88ab717a,주안가챠샵,인천광역시 미추홀구 주안로 86
f50de3e5,갓챠겟챠 송리단길점,서울특별시 송파구 백제고분로45길 17 1층 
4e01e018,갓챠겟챠 성남복정점,경기도 성남시 수정구 복정로 66
ead3e021,오 뽑기 율량점,충청북도 청주시 청원구 1순환로 140
61f44557,뽑기치트,경상남도 양산시 양주4길 15-1 1층
1d43ca99,대박뽑기 2호점,경상북도 김천시 혁신1로 81 
e91f1e7d,뽑기flex,전북특별자치도 완주군 이서면 기지로 50
6e8f68ad,뽑기야놀자 구미비산점,경상북도 구미시 비산로5길 15
8fd003d7,오 뽑기 용암점,충청북도 청주시 상당구 월평로184번길 150 
d8d1bfa2,캑티 가챠샵 홍대점,서울특별시 마포구 어울마당로 62
b21df1c4,뽀꼬팡,서울특별시 동대문구 답십리로1길 10 102동
f8b1a032,캑티 가챠샵 수유점,서울특별시 강북구 한천로139길 42
f670472c,퍼니랜드 영등포점,서울특별시 영등포구 영신로19길 10
98c2a8de,캑티 가챠샵 건대점,서울특별시 광진구 아차산로 219 
974d372b,캑티 가챠샵 천호점,서울특별시 강동구 천호대로157길 11 
d793c3b4,인형뽀끼,경상남도 사천시 벌리로 56
8b9df818,캑티 가챠샵 잠실새내점,서울특별시 송파구 백제고분로7길 24 1층
cce1babf,뽑get몬,경기도 남양주시 덕송2로6번길 28-21
10ffc894,캑티 가챠샵 은계점,경기도 시흥시 은행동 646-5
b76d0ed3,캑티 가챠샵 화정점,경기도 고양시 덕양구 화신로272번길 58 
aeee0463,우와 뽑기방,"인천광역시 연수구 벚꽃로 114 1층 111호(연수동, 브랫슬)"
19745736,캑티 가챠샵 미사점,경기도 하남시 미사강변동로 95
3b2d2628,캑티 가챠샵 서현점,경기도 성남시 분당구 서현로210번길 17 
7e678808,드림월드 중동점,경기도 부천시 원미구 소향로 248 
1a798e65,소풍뽑챠,인천광역시 남동구 소래역로18번길 15
a7da6fca,뽑아가브러,광주광역시 광산구 임방울대로826번길 19-25 스타빌 1층 상가
2c709b29,뽑스,강원특별자치도 원주시 능라동길 72 1층 109호
92ca85bf,으라차챠 한옥마을점,전북특별자치도 전주시 완산구 태조로 18
75fb53dc,가챠샵 포항점,경상북도 포항시 북구 중앙상가길 28-2
ed6e4332,뽀바뽀바뽑기방,전북특별자치도 군산시 대명동 403
244f6898,으라차챠 충장로점,광주광역시 동구 중앙로160번길 15-2
0a59ed9d,캐칭덕 화명점,부산광역시 북구 화명신도시로 130 104호
55187ff4,동네오락실 뽑기방 내포점,충청남도 홍성군 홍북읍 청사로174번길 9 
168ac86a,탱크오락실,충청북도 청주시 상당구 중고개로141번길 13-16
e816ea6d,지구오락실,서울 서대문구 가재울미래로 2 DMC파크뷰자이2단지221동
